,Company,Date,Sentiment,Total Mentions
424,TSLA,2019-05-22,1.0512999999999995,31
425,S&P500,2019-05-22,0,0
426,GME,2019-05-23,0,0
427,TSLA,2019-05-23,4.2703,31
428,S&P500,2019-05-23,0,0
429,GME,2019-05-24,0,0
430,TSLA,2019-05-24,0.2710999999999997,17
431,S&P500,2019-05-24,0,0
432,GME,2019-05-25,0,0
433,TSLA,2019-05-25,0,0
434,S&P500,2019-05-25,0,0
435,GME,2019-05-26,0,0
436,TSLA,2019-05-26,0,0
437,S&P500,2019-05-26,0,0
438,GME,2019-05-27,0,0
439,TSLA,2019-05-27,1.3677000000000001,3
440,S&P500,2019-05-27,0,0
441,GME,2019-05-28,0,0
442,TSLA,2019-05-28,-0.6077,1
443,S&P500,2019-05-28,0,0
444,GME,2019-05-29,0,0
445,TSLA,2019-05-29,2.0145,26
446,S&P500,2019-05-29,0,0
447,GME,2019-05-30,0,0
448,TSLA,2019-05-30,-0.1427000000000001,7
449,S&P500,2019-05-30,0,0
450,GME,2019-05-31,0,0
451,TSLA,2019-05-31,2.9713,8
452,S&P500,2019-05-31,0,0
453,GME,2019-06-01,0,0
454,TSLA,2019-06-01,0,0
455,S&P500,2019-06-01,0,0
456,GME,2019-06-02,0,0
457,TSLA,2019-06-02,1.0304,2
458,S&P500,2019-06-02,0,0
459,GME,2019-06-03,0,0
460,TSLA,2019-06-03,1.3576,8
461,S&P500,2019-06-03,0,0
462,GME,2019-06-04,-0.329,6
463,TSLA,2019-06-04,-1.0232,14
464,S&P500,2019-06-04,0,0
465,GME,2019-06-05,0.27390000000000003,3
466,TSLA,2019-06-05,0,0
467,S&P500,2019-06-05,0,0
468,GME,2019-06-06,0,0
469,TSLA,2019-06-06,5.152699999999999,24
470,S&P500,2019-06-06,0,0
471,GME,2019-06-07,0,0
472,TSLA,2019-06-07,0.06220000000000003,10
473,S&P500,2019-06-07,0,0
474,GME,2019-06-08,0,0
475,TSLA,2019-06-08,0,0
476,S&P500,2019-06-08,0,0
477,GME,2019-06-09,0,0
478,TSLA,2019-06-09,0,0
479,S&P500,2019-06-09,0,0
480,GME,2019-06-10,0.1531,1
481,TSLA,2019-06-10,1.0701,2
482,S&P500,2019-06-10,0,0
483,GME,2019-06-11,0,0
484,TSLA,2019-06-11,9.5382,29
485,S&P500,2019-06-11,0,0
486,GME,2019-06-12,0,0
487,TSLA,2019-06-12,0.7633999999999999,20
488,S&P500,2019-06-12,0,0
489,GME,2019-06-13,0,0
490,TSLA,2019-06-13,0.31339999999999985,10
491,S&P500,2019-06-13,0,0
492,GME,2019-06-14,0,0
493,TSLA,2019-06-14,0.07970000000000015,7
494,S&P500,2019-06-14,0,0
495,GME,2019-06-15,0,0
496,TSLA,2019-06-15,0,0
497,S&P500,2019-06-15,0,0
498,GME,2019-06-16,0,0
499,TSLA,2019-06-16,0,0
500,S&P500,2019-06-16,0,0
501,GME,2019-06-17,0,0
502,TSLA,2019-06-17,1.4306,3
503,S&P500,2019-06-17,0,0
504,GME,2019-06-18,0,0
505,TSLA,2019-06-18,4.058,15
506,S&P500,2019-06-18,0,0
507,GME,2019-06-19,0,0
508,TSLA,2019-06-19,6.469,25
509,S&P500,2019-06-19,0,0
510,GME,2019-06-20,0,0
511,TSLA,2019-06-20,1.8045000000000002,8
512,S&P500,2019-06-20,0,0
513,GME,2019-06-21,0,0
514,TSLA,2019-06-21,0.6516,4
515,S&P500,2019-06-21,0,0
516,GME,2019-06-22,0,0
517,TSLA,2019-06-22,0,0
518,S&P500,2019-06-22,0,0
519,GME,2019-06-23,0,0
520,TSLA,2019-06-23,0,0
521,S&P500,2019-06-23,0,0
522,GME,2019-06-24,0,0
523,TSLA,2019-06-24,0.3612,2
524,S&P500,2019-06-24,0,0
525,GME,2019-06-25,0,0
526,TSLA,2019-06-25,0.5,2
527,S&P500,2019-06-25,0,0
528,GME,2019-06-26,0,0
529,TSLA,2019-06-26,3.1047000000000002,41
530,S&P500,2019-06-26,0,0
531,GME,2019-06-27,0,0
532,TSLA,2019-06-27,2.6722,5
533,S&P500,2019-06-27,0,0
534,GME,2019-06-28,0,0
535,TSLA,2019-06-28,0.012499999999999845,15
536,S&P500,2019-06-28,0,0
537,GME,2019-06-29,0,0
538,TSLA,2019-06-29,0.8976999999999999,4
539,S&P500,2019-06-29,0,0
540,GME,2019-06-30,0,0
541,TSLA,2019-06-30,0,0
542,S&P500,2019-06-30,0,0
543,GME,2019-07-01,0,0
544,TSLA,2019-07-01,-0.1513,1
545,S&P500,2019-07-01,0,0
546,GME,2019-07-02,0,0
547,TSLA,2019-07-02,0.26119999999999993,19
548,S&P500,2019-07-02,0,0
549,GME,2019-07-03,0,0
550,TSLA,2019-07-03,7.231100000000001,33
551,S&P500,2019-07-03,0,0
552,GME,2019-07-04,0,0
553,TSLA,2019-07-04,0,0
554,S&P500,2019-07-04,0,0
555,GME,2019-07-05,0,0
556,TSLA,2019-07-05,0,0
557,S&P500,2019-07-05,0,0
558,GME,2019-07-06,0,0
559,TSLA,2019-07-06,0,0
560,S&P500,2019-07-06,0,0
561,GME,2019-07-07,0,0
562,TSLA,2019-07-07,0,0
563,S&P500,2019-07-07,0,0
564,GME,2019-07-08,0,0
565,TSLA,2019-07-08,0,0
566,S&P500,2019-07-08,0,0
567,GME,2019-07-09,0,0
568,TSLA,2019-07-09,3.5736999999999997,17
569,S&P500,2019-07-09,0,0
570,GME,2019-07-10,0,0
571,TSLA,2019-07-10,2.5648,6
572,S&P500,2019-07-10,0,0
573,GME,2019-07-11,0,0
574,TSLA,2019-07-11,-0.2023,1
575,S&P500,2019-07-11,0,0
576,GME,2019-07-12,0,0
577,TSLA,2019-07-12,0,0
578,S&P500,2019-07-12,0,0
579,GME,2019-07-13,0,0
580,TSLA,2019-07-13,0,0
581,S&P500,2019-07-13,0,0
582,GME,2019-07-14,0,0
583,TSLA,2019-07-14,0,0
